musher,bib,intime,indogs,outtime,outdogs,rest,enroute,prev,speed,checkpoint
Cindy Abbott,16,3/4 00:42:00,14,3/4 06:53:00,14,6h 11m,3h 21m,3/3 21:21:00,8.96,Skwentna
Michael Baker,41,3/4 03:28:00,14,3/4 07:47:00,14,4h 19m,3h 21m,3/4 00:07:00,8.96,Skwentna
Alison Lifka,37,3/4 04:14:00,14,3/4 08:05:00,14,3h 51m,8h 29m,3/3 19:45:00,3.54,Skwentna
Ryan Santiago,49,3/4 04:11:00,14,3/4 08:42:00,14,4h 31m,8h 18m,3/3 19:53:00,3.61,Skwentna
Victoria Hardwick,30,3/4 04:09:00,14,3/4 09:00:00,14,4h 51m,3h 32m,3/4 00:37:00,8.49,Skwentna
Peter Kaiser,9,3/4 06:05:00,14,3/4 06:10:00,14,0h 5m,6h 25m,3/3 23:40:00,6.23,Finger Lake
Nicolas Petit,20,3/4 06:09:00,14,3/4 06:10:00,14,0h 1m,8h 17m,3/3 21:52:00,4.83,Finger Lake
Ryan Redington,22,3/4 06:07:00,14,3/4 06:12:00,14,0h 5m,4h 30m,3/4 01:37:00,8.89,Finger Lake
Matt Hall,3,3/4 07:36:00,14,3/4 07:41:00,14,0h 5m,9h 52m,3/3 21:44:00,4.05,Finger Lake
Jessie Holmes,5,3/4 07:47:00,14,3/4 07:48:00,14,0h 1m,4h 23m,3/4 03:24:00,9.13,Finger Lake
Linwood Fiedler,15,3/4 03:53:00,14,3/4 08:05:00,14,4h 12m,4h 31m,3/3 23:22:00,8.86,Finger Lake
Wade Marrs,36,3/4 08:00:00,14,3/4 08:05:00,14,0h 5m,4h 39m,3/4 03:21:00,8.60,Finger Lake
Aliy Zirkle,19,3/4 05:29:00,14,3/4 08:32:00,14,3h 3m,4h 42m,3/4 00:47:00,8.51,Finger Lake
Ramey Smyth,6,3/4 08:32:00,14,3/4 08:37:00,14,0h 5m,5h 15m,3/4 03:17:00,7.62,Finger Lake
Anna Berington,10,3/4 08:26:00,14,3/4 08:39:00,14,0h 13m,4h 54m,3/4 03:32:00,8.16,Finger Lake
Kristy Berington,26,3/4 08:28:00,13,3/4 08:39:00,13,0h 11m,4h 54m,3/4 03:34:00,8.16,Finger Lake
Joar Leifseth Ulsom,28,3/4 05:39:00,14,3/4 08:40:00,14,3h 1m,4h 33m,3/4 01:06:00,8.79,Finger Lake
Jessie Royer,14,3/4 05:49:00,14,3/4 09:07:00,14,3h 18m,4h 37m,3/4 01:12:00,8.66,Finger Lake
Mats Pettersson,4,3/4 06:10:00,14,3/4 09:09:00,14,2h 59m,4h 33m,3/4 01:37:00,8.79,Finger Lake
Sarah Stokey,52,3/4 09:11:00,14,3/4 09:16:00,14,0h 5m,4h 40m,3/4 04:31:00,8.57,Finger Lake
Jason Campeau,12,3/4 06:02:00,14,3/4 09:25:00,14,3h 23m,4h 53m,3/4 01:09:00,8.19,Finger Lake
Richie Diehl,29,3/4 05:42:00,14,3/4 09:48:00,14,4h 6m,4h 35m,3/4 01:07:00,8.73,Finger Lake
Michi Konno,43,3/4 09:37:00,14,3/4 09:51:00,14,0h 14m,4h 52m,3/4 04:45:00,8.22,Finger Lake
Travis Beals,51,3/4 07:39:00,14,3/4 10:03:00,14,2h 24m,4h 28m,3/4 03:11:00,8.96,Finger Lake
Jeff King,23,3/4 08:42:00,14,3/4 10:04:00,14,1h 22m,4h 45m,3/4 03:57:00,8.42,Finger Lake
Lev Shvarts,13,3/4 10:15:00,14,3/4 10:18:00,14,0h 3m,8h 35m,3/4 01:40:00,4.66,Finger Lake
Mitch Seavey,32,3/4 07:33:00,14,3/4 10:19:00,14,2h 46m,4h 40m,3/4 02:53:00,8.57,Finger Lake
Brett Bruggeman,35,3/4 10:29:00,14,3/4 10:35:00,14,0h 6m,9h 14m,3/4 01:15:00,4.33,Finger Lake
Paige Drobny,40,3/4 10:35:00,14,3/4 10:37:00,14,0h 2m,8h 53m,3/4 01:42:00,4.50,Finger Lake
Aaron Peck,47,3/4 10:39:00,14,3/4 10:47:00,13,0h 8m,8h 53m,3/4 01:46:00,4.50,Finger Lake
Matthew Failor,17,3/4 07:09:00,14,3/4 10:48:00,14,3h 39m,4h 36m,3/4 02:33:00,8.70,Finger Lake
Martin Buser,21,3/4 11:23:00,14,3/4 11:24:00,14,0h 1m,9h 5m,3/4 02:18:00,4.40,Finger Lake
Jeff Deeter,25,3/4 11:27:00,13,3/4 11:33:00,13,0h 6m,7h 44m,3/4 03:43:00,5.17,Finger Lake
Aaron Burmeister,38,3/4 06:59:00,14,3/4 11:38:00,13,4h 39m,4h 59m,3/4 02:00:00,8.03,Finger Lake
Charley Bejna,31,3/4 08:15:00,14,3/4 11:40:00,14,3h 25m,4h 49m,3/4 03:26:00,8.30,Finger Lake
Richie Beattie,50,3/4 12:04:00,14,3/4 12:06:00,14,0h 2m,9h 3m,3/4 03:01:00,4.42,Finger Lake
Sebastien Dos Santos Borges,46,3/4 12:20:00,14,3/4 12:26:00,14,0h 6m,9h 29m,3/4 02:51:00,4.22,Finger Lake
Blair Braverman,11,3/4 12:10:00,14,3/4 12:31:00,13,0h 21m,10h 51m,3/4 01:19:00,3.69,Finger Lake
Robert Redington,34,3/4 09:23:00,14,3/4 14:04:00,13,4h 41m,5h 16m,3/4 04:07:00,7.59,Finger Lake
Ed Hopkins,33,3/4 10:53:00,14,3/4 14:45:00,14,3h 52m,8h 57m,3/4 01:56:00,4.47,Finger Lake
Kristin Bacon,8,3/4 14:51:00,14,3/4 14:56:00,14,0h 5m,9h 32m,3/4 05:19:00,4.20,Finger Lake
Lance Mackey,44,3/4 09:33:00,14,3/4 15:10:00,14,5h 37m,4h 55m,3/4 04:38:00,8.14,Finger Lake
Martin Apayauq Reitan,39,3/4 10:50:00,14,3/4 15:11:00,14,4h 21m,5h 14m,3/4 05:36:00,7.64,Finger Lake
Jessica Klejka,24,3/4 09:24:00,14,3/4 15:12:00,14,5h 48m,4h 54m,3/4 04:30:00,8.16,Finger Lake
Seth Barnes,45,3/4 10:18:00,14,3/4 15:17:00,14,4h 59m,4h 52m,3/4 05:26:00,8.22,Finger Lake
Shaynee Traska,7,3/4 10:22:00,14,3/4 15:18:00,12,4h 56m,5h 2m,3/4 05:20:00,7.95,Finger Lake
Emily Maxwell,18,3/4 09:56:00,14,3/4 15:20:00,13,5h 24m,4h 54m,3/4 05:02:00,8.16,Finger Lake
Anja Radano,2,3/4 16:01:00,14,3/4 16:21:00,13,0h 20m,12h 33m,3/4 03:28:00,3.19,Finger Lake
Niklas Wikstrand,42,3/4 11:37:00,14,3/4 16:47:00,14,5h 10m,4h 52m,3/4 06:45:00,8.22,Finger Lake
Marcelle Fressineau,27,3/4 12:18:00,14,3/4 17:00:00,13,4h 42m,7h 24m,3/4 04:54:00,5.41,Finger Lake
Michael Baker,41,3/4 12:13:00,14,3/4 17:28:00,14,5h 15m,4h 26m,3/4 07:47:00,9.02,Finger Lake
Cindy Gallea,53,3/4 11:55:00,14,3/4 17:41:00,13,5h 46m,5h 2m,3/4 06:53:00,7.95,Finger Lake
Cindy Abbott,16,3/4 12:01:00,14,3/4 18:03:00,14,6h 2m,5h 8m,3/4 06:53:00,7.79,Finger Lake
Ryan Santiago,49,3/4 13:24:00,14,3/4 18:23:00,14,4h 59m,4h 42m,3/4 08:42:00,8.51,Finger Lake
Alison Lifka,37,3/4 13:03:54,14,3/4 18:35:00,14,5h 31m,4h 58m,3/4 08:05:00,8.05,Finger Lake
Victoria Hardwick,30,3/4 16:36:00,14,3/4 19:14:00,14,2h 38m,7h 36m,3/4 09:00:00,5.26,Finger Lake
Jeremy Keller,48,3/4 11:58:00,13,3/4 19:24:00,9,7h 26m,5h 58m,3/4 06:00:00,6.70,Finger Lake
Nicolas Petit,20,3/4 09:06:00,14,3/4 09:14:00,14,0h 8m,2h 56m,3/4 06:10:00,10.23,Rainy Pass
Peter Kaiser,9,3/4 09:18:00,14,3/4 09:25:00,14,0h 7m,3h 8m,3/4 06:10:00,9.57,Rainy Pass
Joar Leifseth Ulsom,28,3/4 11:42:00,14,3/4 14:52:00,13,3h 10m,3h 2m,3/4 08:40:00,9.89,Rainy Pass
Ryan Redington,22,3/4 09:26:00,14,3/4 15:16:00,14,5h 50m,3h 14m,3/4 06:12:00,9.28,Rainy Pass
Aliy Zirkle,19,3/4 11:43:00,14,3/4 15:19:00,14,3h 36m,3h 11m,3/4 08:32:00,9.42,Rainy Pass
