currentMusher,musherLocation,currentTimeStamp,index,relOrder
Jessie Holmes,White Mountain_inTime,2019-03-14T08:00:00Z,41,1
Jessie Holmes,White Mountain_inTime,2019-03-14T09:00:00Z,41,1
Jessie Holmes,White Mountain_inTime,2019-03-14T10:00:00Z,41,1
Jessie Holmes,White Mountain_inTime,2019-03-14T11:00:00Z,41,1
Jessie Holmes,White Mountain_inTime,2019-03-14T12:00:00Z,41,1
Jessie Holmes,White Mountain_inTime,2019-03-14T13:00:00Z,41,1
Jessie Holmes,White Mountain_inTime,2019-03-14T14:00:00Z,41,1
Jessie Holmes,White Mountain_inTime,2019-03-14T15:00:00Z,41,1
Jessie Holmes,White Mountain_inTime,2019-03-14T16:00:00Z,41,1
Jessie Holmes,White Mountain_inTime,2019-03-14T17:00:00Z,41,1
Jessie Holmes,White Mountain_inTime,2019-03-14T18:00:00Z,41,1
Jessie Holmes,White Mountain_inTime,2019-03-14T19:00:00Z,41,1
Jessie Holmes,White Mountain_inTime,2019-03-14T20:00:00Z,41,1
Jessie Holmes,White Mountain_inTime,2019-03-14T21:00:00Z,41,1
Jessie Holmes,White Mountain_inTime,2019-03-14T22:00:00Z,41,1
Jessie Holmes,White Mountain_inTime,2019-03-14T23:00:00Z,41,1
Jessie Holmes,White Mountain_inTime,2019-03-15T00:00:00Z,41,1
Jessie Holmes,White Mountain_outTime,2019-03-15T01:00:00Z,42,1
Jessie Holmes,White Mountain_outTime,2019-03-15T02:00:00Z,42,1
Jessie Holmes,White Mountain_outTime,2019-03-15T03:00:00Z,42,1
Jessie Holmes,White Mountain_outTime,2019-03-15T04:00:00Z,42,1
Jessie Holmes,White Mountain_outTime,2019-03-15T05:00:00Z,42,1
Jessie Holmes,White Mountain_outTime,2019-03-15T06:00:00Z,42,1
Jessie Holmes,White Mountain_outTime,2019-03-15T07:00:00Z,42,1
Jessie Holmes,Safety_inTime,2019-03-15T08:00:00Z,43,1
Jessie Holmes,Safety_inTime,2019-03-15T09:00:00Z,43,1
Jessie Holmes,Safety_inTime,2019-03-15T10:00:00Z,43,1
Jessie Holmes,Safety_outTime,2019-03-15T11:00:00Z,44,1
Jessie Holmes,Safety_outTime,2019-03-15T12:00:00Z,44,1
Jessie Holmes,Safety_outTime,2019-03-15T13:00:00Z,44,1
Jessie Holmes,Nome_inTime,2019-03-15T14:00:00Z,45,1
Jessie Holmes,Nome_inTime,2019-03-15T15:00:00Z,45,1
Jessie Holmes,Nome_inTime,2019-03-15T16:00:00Z,45,1
Jessie Holmes,Nome_inTime,2019-03-15T17:00:00Z,45,1
Jessie Holmes,Nome_inTime,2019-03-15T18:00:00Z,45,1
Jessie Holmes,Nome_inTime,2019-03-15T19:00:00Z,45,1
Jessie Holmes,Nome_inTime,2019-03-15T20:00:00Z,45,1
Jessie Holmes,Nome_inTime,2019-03-15T21:00:00Z,45,1
Jessie Holmes,Nome_inTime,2019-03-15T22:00:00Z,45,1
Jessie Holmes,Nome_inTime,2019-03-15T23:00:00Z,45,1
Jessie Holmes,Nome_inTime,2019-03-16T00:00:00Z,45,1
Jessie Holmes,Nome_inTime,2019-03-16T01:00:00Z,45,1
Jessie Holmes,Nome_inTime,2019-03-16T02:00:00Z,45,1
